outcome,outcome_label,outcome_unit,pool,pool_label,anomes,actual_value,synth_value,effect_value,actual_index,synth_index,effect_index
bolsa_familia,Familias beneficiarias do Bolsa Familia,familias,south,"Regiao Sul (RS, SC e PR)",202303,1843.0,1905.8829356693536,-62.882935669353856,86.16175783076204,89.1015865203064,-2.939828689544356
bolsa_familia,Familias beneficiarias do Bolsa Familia,familias,south,"Regiao Sul (RS, SC e PR)",202304,1893.0,1933.7945656014567,-40.79456560145718,88.49929873772791,90.40647805523407,-1.907179317506177
bolsa_familia,Familias beneficiarias do Bolsa Familia,familias,south,"Regiao Sul (RS, SC e PR)",202305,1969.0,1971.5021096208868,-2.502109620886813,92.05236091631603,92.16933658816676,-0.1169756718507244
bolsa_familia,Familias beneficiarias do Bolsa Familia,familias,south,"Regiao Sul (RS, SC e PR)",202306,1947.0,1957.3959529141537,-10.395952914153668,91.02384291725105,91.50986222132556,-0.4860193040745173
bolsa_familia,Familias beneficiarias do Bolsa Familia,familias,south,"Regiao Sul (RS, SC e PR)",202307,2072.0,1986.4388038561635,85.5611961438367,96.86769518466572,92.86763926396276,4.000055920702977
bolsa_familia,Familias beneficiarias do Bolsa Familia,familias,south,"Regiao Sul (RS, SC e PR)",202308,2076.0,2003.901842166436,72.09815783356407,97.054698457223,93.68405059216624,3.3706478650567533
bolsa_familia,Familias beneficiarias do Bolsa Familia,familias,south,"Regiao Sul (RS, SC e PR)",202309,2090.0,2016.9143455485928,73.08565445140675,97.70920991117345,94.29239577132272,3.4168141398507146
bolsa_familia,Familias beneficiarias do Bolsa Familia,familias,south,"Regiao Sul (RS, SC e PR)",202310,1992.0,2012.2881826560013,-20.28818265600148,93.12762973352034,94.07611887124833,-0.9484891377279894
bolsa_familia,Familias beneficiarias do Bolsa Familia,familias,south,"Regiao Sul (RS, SC e PR)",202311,1906.0,1965.351440341768,-59.35144034176778,89.10705937353903,91.88178776726356,-2.774728393724544
bolsa_familia,Familias beneficiarias do Bolsa Familia,familias,south,"Regiao Sul (RS, SC e PR)",202312,1933.0,1957.5864960766055,-24.586496076605727,90.3693314633006,91.51877027006104,-1.149438806760429
bolsa_familia,Familias beneficiarias do Bolsa Familia,familias,south,"Regiao Sul (RS, SC e PR)",202401,1921.0,1959.2018715954864,-38.20187159548664,89.8083216456288,91.59429039717097,-1.785968751542157
bolsa_familia,Familias beneficiarias do Bolsa Familia,familias,south,"Regiao Sul (RS, SC e PR)",202402,1966.0,1977.9816858009488,-11.981685800948751,91.91210846189809,92.47226207578068,-0.5601536138826049
bolsa_familia,Familias beneficiarias do Bolsa Familia,familias,south,"Regiao Sul (RS, SC e PR)",202403,1913.0,1962.8109122433823,-49.81091224338229,89.43431510051425,91.76301600015812,-2.328700899643863
bolsa_familia,Familias beneficiarias do Bolsa Familia,familias,south,"Regiao Sul (RS, SC e PR)",202404,1922.0,1995.049471878936,-73.04947187893595,89.85507246376811,93.27019503875344,-3.4151225749853182
bolsa_familia,Familias beneficiarias do Bolsa Familia,familias,south,"Regiao Sul (RS, SC e PR)",202405,2057.0,2021.9333561826757,35.066643817324575,96.16643291257596,94.527038624716,1.6393942878599717
bolsa_familia,Familias beneficiarias do Bolsa Familia,familias,south,"Regiao Sul (RS, SC e PR)",202406,2106.0,2086.851557415177,19.148442584822988,98.45722300140253,97.56201764446833,0.8952053569342127
bolsa_familia,Familias beneficiarias do Bolsa Familia,familias,south,"Regiao Sul (RS, SC e PR)",202407,2148.0,2125.8768791038688,22.12312089613124,100.42075736325388,99.3864833615647,1.0342740016891696
bolsa_familia,Familias beneficiarias do Bolsa Familia,familias,south,"Regiao Sul (RS, SC e PR)",202408,2185.0,2158.161515446217,26.83848455378302,102.1505376344086,100.8958165238998,1.2547211105087968
bolsa_familia,Familias beneficiarias do Bolsa Familia,familias,south,"Regiao Sul (RS, SC e PR)",202409,2163.0,2145.7189135790027,17.281086420997326,101.12201963534362,100.31411470682572,0.8079049285178854
bolsa_familia,Familias beneficiarias do Bolsa Familia,familias,south,"Regiao Sul (RS, SC e PR)",202410,2139.0,2138.9999999999995,4.547473508864641e-13,100.0,100.0,1.4210854715202004e-14
bolsa_familia,Familias beneficiarias do Bolsa Familia,familias,south,"Regiao Sul (RS, SC e PR)",202411,2115.0,2136.335426775607,-21.33542677560717,98.87798036465638,99.87542902176752,-0.9974486571111498
bolsa_familia,Familias beneficiarias do Bolsa Familia,familias,south,"Regiao Sul (RS, SC e PR)",202412,2079.0,2128.002113953464,-49.00211395346423,97.19495091164096,99.48583982952148,-2.2908889178805083
bolsa_familia,Familias beneficiarias do Bolsa Familia,familias,south,"Regiao Sul (RS, SC e PR)",202501,1951.0,2017.4759631052848,-66.47596310528456,91.21084618980832,94.31865185157946,-3.1078056617711383
bolsa_familia,Familias beneficiarias do Bolsa Familia,familias,south,"Regiao Sul (RS, SC e PR)",202502,1920.0,2014.70030969992,-94.70030969992013,89.76157082748948,94.18888778400748,-4.427316956518013
bolsa_familia,Familias beneficiarias do Bolsa Familia,familias,south,"Regiao Sul (RS, SC e PR)",202503,1738.0,1925.4773165002323,-187.4773165002325,81.25292192613371,90.01763985508333,-8.764717928949622
